<<Tax Map Parcel Number>>,Tax Map 1st Num,<<Parcel Street Address1>>,<<Parcel Street Address2>>,Application Type:,Application Status,Changes to Application,<<Last Application Year>>,<<Expiration Date>>,<<Current square footage of impervious surface >>,<<Billing Units>>,Billing Rate,<<Credit Percent>>,<<Original Fee>>,<<Credit Amount>>,<<New Fee>>,Septic Connection Credit,Disconnected Downspouts,Rain Garden,Vegetated Filter Strip,Rain Barrel,Tree Cover,Conservation Landscaping,Nutrient Management Plan,<<Credit Items>>,"Roof Area
(For reporting disconnects)","Rain Barrel Area
(for reporting Rain Barrels)","Pervious Area
(For reporting NMP)"
1_J_9,1,437 Hickory Grove Cir,"Harrisonburg, VA 22801",Credit Application,Approved,,2022,6/30/2027," 3,405.56 ",7,$6.00,40%, $42.00 , $16.80 , $25.20 ,,20%,,,,,10%,10%,* 100% Disconnected Downspouts * Conservation Landscaping * Nutrient Management Plan * ,"2,042.00",,"1,490.00"
1_L_10,1,480 Pointe Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 1,361.33 ",3,$6.00,30%, $18.00 , $5.40 , $12.60 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,900.00,,"3,750.00"
3_F_1,3,2150 Whispering Springs Rd,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 3,869.83 ",8,$6.00,50%, $48.00 , $24.00 , $24.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,"2,177.00",163.40,"2,000.00"
"6_D_9, 12",6,2140 S Main St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 11,007.03 ",22,$6.00,40%, $132.00 , $52.80 , $79.20 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"2,800.00",,"140,000.00"
7_C_2,7,150 W Mosby Rd,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 53,484.61 ",107,$6.00,50%, $642.00 , $321.00 , $321.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"5,000.00",400.00,"1,069,000.00"
8_C_7,8,1915 Willow Hill Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 10,827.92 ",22,$6.00,50%, $132.00 , $66.00 , $66.00 ,,20%,,,,10%,10%,10%,* 100% Disconnected Downspouts * Tree Cover * Conservation Landscaping * Nutrient Management Plan * ,"3,700.00",,"52,050.00"
8_D_4,8,440 Pear St,"Harrisonburg, VA 22801",Septic Credit,Approved-DNE,,2023,DNE," 5,494.43 ",11,$6.00,50%, $66.00 , $33.00 , $33.00 ,50.00%,,,,,,,,* Septic Connection Credit * ,,,
8_D_8,8,610 Pear St,"Harrisonburg, VA 22801",Septic Credit,Approved-DNE,,DNE-2020,DNE," 8,755.34 ",18,$6.00,50%, $108.00 , $54.00 , $54.00 ,50.00%,,,,,,,,* Septic Connection Credit * ,,,
8_D_9,8,606 Pear St,"Harrisonburg, VA 22801",Septic Credit,Approved-DNE,,DNE-2020,DNE," 10,925.49 ",22,$6.00,50%, $132.00 , $66.00 , $66.00 ,50.00%,,,,,,,,* Septic Connection Credit * ,,,
9_B_8,9,79 Perry St,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 2,880.42 ",6,$6.00,50%, $36.00 , $18.00 , $18.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"2,150.00",150.00,"11,000.00"
