latitude,longitude,name,desc,color
38.459174,-78.869118,840 Collicello St Harrisonburg        VA      US,-,
38.435851,-78.887145,101 South Ave Harrisonburg        VA      US,-,
38.435109,-78.896052,244 Hillandale Ave Harrisonburg        VA      US,-,
38.454594,-78.875489,481 W Gay St Harrisonburg        VA      US,-,
38.449586,-78.851091,810 Meadowlark Harrisonburg        VA      US,-,
38.459808,-78.861771,150  Ashby Avenue Harrisonburg        VA      US,-,
38.459909,-78.861971,160 Ashby Avenue Harrisonburg        VA      US,-,
38.446331,-78.848213,1080 Star Crest Dr Harrisonburg        VA      US,-,
38.429922,-78.890641,1660 Central Ave Harrisonburg        VA      US,-,
38.420192,-78.855409,2310 Kendall Ln Harrisonburg        VA      US,-,
38.420363,-78.855862,2310 Wishing Well Ct Harrisonburg        VA      US,-,
38.431704,-78.87666,217 Port Republic Rd Harrisonburg        VA      US,-,
38.454594,-78.875489,481 W Gay St Harrisonburg        VA      US,-,
38.456565,-78.850495,565 Viewmont Ct Harrisonburg        VA      US,-,
38.428172,-78.870663,900 Oak Hill Dr Harrisonburg        VA      US,-,
38.452726,-78.873952,245 Chicago Ave Harrisonburg        VA      US,-,
38.483773,-78.873927,1876 Park Rd Harrisonburg        VA      US,-,
38.484233,-78.873969,1892 Park Rd Harrisonburg        VA      US,-,
38.450633,-78.856934,677 E Rock St Harrisonburg        VA      US,-,
38.454161,-78.871559,404 Virgina Ave Harrisonburg        VA      US,-,
38.457998,-78.862838,759 Madison St Harrisonburg        VA      US,-,
38.457948,-78.863038,748 Madison St Harrisonburg        VA      US,-,
38.414318,-78.884997,2125 Whispering Springs Rd Harrisonburg        VA      US,-,
38.452254,-78.85966,517 E Gay St Harrisonburg        VA      US,-,
38.447499,-78.866634,205 Newman Ave Harrisonburg        VA      US,-,
38.442734,-78.871172,55 E Grattan St Harrisonburg        VA      US,-,
38.42852,-78.896629,98 Rex Rd Harrisonburg        VA      US,-,
38.429066,-78.896273,1813 Willow Hill Dr Harrisonburg        VA      US,-,
38.4291,-78.896226,1811 Willow Hill Dr Harrisonburg        VA      US,-,
38.427551,-78.895016,63 Rex Rd Harrisonburg        VA      US,-,
38.460213,-78.86664,793 N Liberty St Harrisonburg        VA      US,-,
38.434987,-78.897292,333 Cedar St Harrisonburg        VA      US,-,
38.44613,-78.865609,261 Franklin St Harrisonburg        VA      US,-,
38.482066,-78.876264,1824 College Ave Harrisonburg        VA      US,-,
38.443757,-78.86845,485 S Mason St Harrisonburg        VA      US,-,
38.45621,-78.895008,1820 Shen Stone Dr Harrisonburg        VA      US,-,
38.415555,-78.87897,1820 Manor Dr Harrisonburg        VA      US,-,
38.415289,-78.879897,1871 Manor Dr Harrisonburg        VA      US,-,
38.415527,-78.878763,1810 Manor Dr Harrisonburg        VA      US,-,
38.430798,-78.879058,1419 Crawford Ave Harrisonburg        VA      US,-,
38.458009,-78.861493,45 Monroe St Harrisonburg        VA      US,-,
38.430767,-78.881423,58 Monument Ave Harrisonburg        VA      US,-,
38.452413,-78.888966,1250 W. Market St Harrisonburg        VA      US,-,
38.420772,-78.854112,2250 Reservior St Harrisonburg        VA      US,-,
38.454895,-78.859218,287 E Johnson St Harrisonburg        VA      US,-,
38.453377,-78.889958,1261 Stonechris Dr Harrisonburg        VA      US,-,
38.452625,-78.862112,386 E Gay St Harrisonburg        VA      US,-,
38.446531,-78.869339,311 S Main St  Harrisonburg        VA      US,-,
38.424213,-78.849693,294 Lucy Dr Harrisonburg        VA      US,-,
38.42409,-78.851589,Lucy Dr Harrisonburg        VA      US,-,
38.47462,-78.878534,1480 College Ave Harrisonburg        VA      US,-,
38.435235,-78.897338,422 Cedar St Harrisonburg        VA      US,-,
38.439267,-78.912369,1445 Springside Dr Harrisonburg        VA      US,-,
38.412519,-78.904565,70 Baxter Dr Harrisonburg        VA      US,-,
38.412228,-78.904121,50 Baxter Harrisonburg        VA      US,-,
38.452603,-78.861963,396 E Gay St Harrisonburg        VA      US,-,
38.411081,-78.903052,3091 S Main St Harrisonburg        VA      US,-,
38.411937,-78.903677,30 Baxter Rd Harrisonburg        VA      US,-,
38.448753,-78.85485,716 E Market St Harrisonburg        VA      US,-,
38.448734,-78.854829,718 E Market St Harrisonburg        VA      US,-,
38.448697,-78.854787,722 E Market St Harrisonburg        VA      US,-,
38.448517,-78.854606,726 E Market St Harrisonburg        VA      US,-,
38.448429,-78.854522,730 E Market St Harrisonburg        VA      US,-,
38.455524,-78.862956,80 E Johnson St Harrisonburg        VA      US,-,
38.458767,-78.858931,907 N Main St Harrisonburg        VA      US,-,
38.446618,-78.860136,108 Reservior St Harrisonburg        VA      US,-,
38.460188,-78.874785,804 Chicago Ave Harrisonburg        VA      US,-,
38.467291,-78.878046,1065 Chicago Ave Harrisonburg        VA      US,-,
38.425908,-78.889659,15 Pleasant Hill Rd Harrisonburg        VA      US,-,
38.452935,-78.901196,251 Garbers Church Rd Harrisonburg        VA      US,-,
38.452982,-78.871864,305 N High Street Harrisonburg        VA      US,-,
38.448789,-78.874458,131 Academy St Harrisonburg        VA      US,-,
38.453377,-78.889958,1261 Stonechris Dr Harrisonburg        VA      US,-,
38.44919,-78.874661,309 W Water St Harrisonburg        VA      US,-,
38.450317,-78.853541,853 Old Furnace Rd Harrisonburg        VA      US,-,
38.450317,-78.853541,853 Old Furnace Rd Harrisonburg        VA      US,-,
38.467347,-78.862415,1377 N Liberty St Harrisonburg        VA      US,-,
38.42409,-78.851589,Lucy Dr Harrisonburg        VA      US,-,
38.423135,-78.846881,281 Emerald Dr Harrisonburg        VA      US,-,
38.422685,-78.85438,2150 Reservoir St Harrisonburg        VA      US,-,
38.465955,-78.880119,Shenandoah St Harrisonburg        VA      US,-,
38.453606,-78.862062,375 Effinger St Harrisonburg        VA      US,-,
38.446695,-78.847374,821 Blue Ridge Dr Harrisonburg        VA      US,-,
38.439904,-78.881959,126 Maryland Ave Harrisonburg        VA      US,-,
38.414746,-78.898128,Boxwood Ct Harrisonburg        VA      US,-,
38.440148,-78.882137,136 Maryland Ave Harrisonburg        VA      US,-,
38.421416,-78.8541,2201 Reservoir St Harrisonburg        VA      US,-,
38.42139,-78.8541,2203 Reservoir St Harrisonburg        VA      US,-,
38.471777,-78.877994,1200 Park Rd Harrisonburg        VA      US,-,
38.435851,-78.887145,101 South Ave Harrisonburg        VA      US,-,
