
latitude,longitude,name,desc,color
38.450316,-78.844372,1223 Goldfinch Dr Harrisonburg VA,-,
38.45048,-78.844691,1210 Goldfinch Dr Harrisonburg VA,-,
38.442503,-78.847816,560 Allegany Ave Harrisonburg VA,-,
38.414318,-78.884997,2125 Whispering Springs Harrisonburg VA,-,
38.448632,-78.847511,1065 Bobwhite Place Harrisonburg VA,-,
38.457948,-78.863038,748 Madison St Harrisonburg VA,-,
38.449435,-78.845069,1220 Meadowlark Dr Harrisonburg VA,-,
38.466944,-78.877869,1049 Chicago Ave Harrisonburg VA,-,
38.430776,-78.881444,56 Monument Ave Harrisonburg VA,-,
38.458209,-78.870477,740 Virginia Ave Harrisonburg VA,-,
38.46075,-78.866887,1021 Edom Rd Harrisonburg VA,-,
38.421466,-78.856141,752 Foley Rd Harrisonburg VA,-,
38.458209,-78.870477,740 Virginia Ave Harrisonburg VA,-,
38.431143,-78.872102,605 Locust Hill Dr Harrisonburg VA,-,
38.428984,-78.872907,705 Oak Hill Dr Harrisonburg VA,-,
38.459443,-78.870184,849 Virginia Ave Harrisonburg VA,-,
38.43517,-78.897312,403 Cedar St Harrisonburg VA,-,
38.459115,-78.855837,1046 Moore St Harrisonburg VA,-,
38.4576,-78.847499,Vine St Harrisonburg VA,-,
38.420264,-78.855107,728 Ridgeville Ln Harrisonburg VA,-,
38.420284,-78.855167,730 Ridgeville Ln Harrisonburg VA,-,
38.453053,-78.902874,1851 Rhianon Ln Harrisonburg VA,-,
38.452225,-78.873562,280 W Wolfe St Harrisonburg VA,-,
38.431076,-78.892223,69 Perry St Harrisonburg VA,-,
38.41553,-78.898509,301 Pointe Drive Harrisonburg VA,-,
38.434812,-78.897573,232 Cedar St Harrisonburg VA,-,
38.484645,-78.872949,1970 Buttonwood Ct Harrisonburg VA,-,
38.484697,-78.872975,1974 Buttonwood Ct Harrisonburg VA,-,
38.484748,-78.873001,1978 Buttonwood Ct Harrisonburg VA,-,
38.4848,-78.873026,1982 Buttonwood Ct Harrisonburg VA,-,
38.484853,-78.87305,1986 Buttonwood Ct Harrisonburg VA,-,
38.484905,-78.873075,1990 Buttonwood Ct Harrisonburg VA,-,
38.431557,-78.879529,1429 Valley St Harrisonburg VA,-,
38.432056,-78.878397,121 E Weaver Ave Harrisonburg VA,-,
38.443973,-78.857324,75 Kenmore St Harrisonburg VA,-,
38.443879,-78.857739,88 Kenmore St Harrisonburg VA,-,
38.431273,-78.879925,1439 Valley St Harrisonburg VA,-,
38.414042,-78.863516,1192 Portland Dr Harrisonburg VA,-,
38.41477,-78.862952,1176 Portland Dr Harrisonburg VA,-,
38.414733,-78.862977,1178 Portland Dr Harrisonburg VA,-,
38.423751,-78.832979,282 Fairway Dr Harrisonburg VA,-,
38.430462,-78.894599,111 Middlebrook Dr Harrisonburg VA,-,
38.447499,-78.866634,205 Newman Ave Harrisonburg VA,-,
38.420107,-78.840632,Bluestone Hills Dr Harrisonburg VA,-,
38.455441,-78.862441,110 E Johnson St Harrisonburg VA,-,
38.443336,-78.853495,912 Oakland St Harrisonburg VA,-,
38.428172,-78.870663,900 Oak Hill Dr Harrisonburg VA,-,
38.42914,-78.895494,105 Pleasant Hill Dr Harrisonburg VA,-,
38.415543,-78.878747,1811 Manor Dr Harrisonburg VA,-,
38.422624,-78.844299,182 Emerald Dr Harrisonburg VA,-,
38.4576,-78.847499,Vine Street Harrisonburg VA,-,
