"","Row","MasterGridDataID","ObjLabel","TypeName","IsClosed","FilingDate","NumString","Applicant","Location","Descr","Status","StatusDate","ModifiedDate","PublicDocCount","Zoning","X","Y","HouseNum","HouseNumInt","StreetName","City","St","Zip","Parcel","Guid","Origin","Division","Last.Compliance.Date","Open.Violations","Total.Violations","Date.Received","Date.Certified.Letter.Sent","Date.Letter.Picked.Up","Address","Comments","id","address","city","stateprov","country","name","desc","color","Source.of.Concern","type","era","geometry"
"1",220,147152,"Code Incident","Tall Grass and Weeds","True",2018-06-08,"1806C-0015-TGW","Anonymous","210 Monument Ave","Tall grass and weeds","Tall Weeds and Grass Notice","6/13/2018 4:19:04 PM","6/20/2018 2:55:53 PM",0,"R-1",11374171.43,6839675.5,"210",210,"Monument Ave","Harrisonburg","VA",22801,"011 N 22 23","b8f9c879-788f-4f57-a264-57583ed9656d","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8796162, 38.4294624)
"2",222,147079,"Code Incident","Tall Grass and Weeds","True",2018-05-31,"1805C-0046-TGW","Anonymous","206 Campbell St","TGW","Tall Weeds and Grass Notice","6/8/2018 10:37:45 AM","6/20/2018 2:56:27 PM",0,"U-R",11377673.98,6845455.75,"206",206,"Campbell St","Harrisonburg","VA",22801,"026 N  1","797c30a7-abf3-437e-8c5a-d72a0dcd78ca","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8674701, 38.4453737)
"3",279,147423,"Code Incident","Tall Grass and Weeds","True",2018-07-12,"1807C-0042-TGW","Anonymous","1212 Windsor Rd","Tall grass","Tall Weeds and Grass Notice","7/12/2018 2:43:47 PM","8/10/2018 11:37:12 AM",0,"R-1",11379339.5,6835657.75,"1212",1212,"Windsor Rd","Harrisonburg","VA",22801,"084 E  3","ea3ef331-f863-4654-9b0a-20ef387f5786","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8615201, 38.4184871)
"4",322,147739,"Code Incident","Tall Grass and Weeds","True",2018-08-30,"1808C-0043-TGW","Anonymous","1351 Little Sorrell Dr","TGW","Correction Notice","8/30/2018 2:15:51 PM","9/14/2018 9:10:43 AM",0,"R-1",11377644.65,6834050.79,"1351",1351,"Little Sorrell Dr","Harrisonburg","VA",22801,"088 H  5","2c88f8cd-644b-4864-b7a1-a4bad110ae64","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8674132, 38.414056)
"5",323,147738,"Code Incident","Tall Grass and Weeds","True",2018-08-30,"1808C-0042-TGW","Anonymous","1381 Little Sorrell Dr","TGW ","Correction Notice","8/30/2018 2:28:03 PM","9/14/2018 9:10:47 AM",0,"R-3C",11377947.94,6833939.54,"1381",1381,"Little Sorrell Dr","Harrisonburg","VA",22801,"088 H  8","3ee52a47-bcaf-4e41-a9eb-4aa73239bfbe","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8663531, 38.4137539)
"6",324,147737,"Code Incident","Tall Grass and Weeds","True",2018-08-30,"1808C-0041-TGW","Anonymous","1365 Wine Dr","TGW","Correction Notice","8/30/2018 2:31:07 PM","9/14/2018 9:10:51 AM",0,"R-1",11377872.14,6833732.91,"1365",1365,"Wine Dr","Harrisonburg","VA",22801,"088 I  6","dd41dc26-6b53-49d8-9e83-211f2bf706f5","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8666148, 38.4131856)
"7",325,147736,"Code Incident","Tall Grass and Weeds","True",2018-08-30,"1808C-0040-TGW","Anonymous","1375 Wine Dr","TGW","Correction Notice","8/30/2018 2:32:20 PM","9/14/2018 9:10:55 AM",0,"R-3C",11377977.13,6833763.19,"1375",1375,"Wine Dr","Harrisonburg","VA",22801,"088 I  7","2a08cdeb-6bdd-4ec6-bdcc-0f5bef44ca3c","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8662488, 38.4132699)
"8",326,147735,"Code Incident","Tall Grass and Weeds","True",2018-08-30,"1808C-0039-TGW","Anonymous","1335 Port Republic Rd","TGW","Correction Notice","8/30/2018 2:33:42 PM","9/14/2018 9:11:00 AM",0,"B-2C",11378081.26,6834364.97,"1335",1335,"Port Republic Rd","Harrisonburg","VA",22801,"088 G  7","7314f937-3f00-4727-925e-64a622246170","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8658937, 38.4149235)
"9",337,147794,"Code Incident","Tall Grass and Weeds","True",2018-09-06,"1809C-0004-TGW","","564 Norwood St","","Tall Weeds and Grass Notice","9/11/2018 11:28:19 AM","10/9/2018 12:21:50 PM",0,"",11380781.37,6845337.4,"564",564,"Norwood St","Harrisonburg","VA",22801,"","7074348e-461d-4630-967b-3bc3ec17b8df","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8566187, 38.4450824)
"10",340,147757,"Code Incident","Tall Grass and Weeds","True",2018-09-04,"1809C-0002-TGW","Anonymous","210 Chicago Ave","Tall grass","Tall Weeds and Grass Notice","9/6/2018 9:28:11 AM","10/9/2018 12:34:10 PM",0,"R-2",11375874.89,6848121.3,"210",210,"Chicago Ave","Harrisonburg","VA",22802,"035 N  9","207da421-5dbf-4e51-b969-d1e18fa825fa","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8737898, 38.4526732)
