"","Date.Received","Date.Certified.Letter.Sent","Date.Letter.Picked.Up","Address","Comments","Violation.Status.Open.Closed","id","address","city","stateprov","country","latitude","longitude","name","desc","color"
"1",2011-04-26,"5/5/2011","5/6/2011","840 Collicello St","Tall grass and weeds (TGW)","Closed 5/17/2011","7","840 Collicello St","Harrisonburg","VA","US",38.459174,-78.869118,"840 Collicello St Harrisonburg        VA      US","-",NA
"2",2011-05-02,"5/5/2011","n/a","101 South Ave","TGW","Closed 6/22/2011","23","101 South Ave","Harrisonburg","VA","US",38.435851,-78.887145,"101 South Ave Harrisonburg        VA      US","-",NA
"3",2011-05-02,"5/5/2011","5/9/2011","244 Hillandale Ave","TGW","Closed 5/17/2011","23","244 Hillandale Ave","Harrisonburg","VA","US",38.435109,-78.896052,"244 Hillandale Ave Harrisonburg        VA      US","-",NA
"4",2011-05-02,"n/a","n/a","481 W Gay St","TGW","No violation","23","481 W Gay St","Harrisonburg","VA","US",38.454594,-78.875489,"481 W Gay St Harrisonburg        VA      US","-",NA
"5",2011-05-02,"5/10/11","5/13/11"," 810 Meadowlark","TGW- Common space behind"," Closed 5/26/11","23"," 810 Meadowlark","Harrisonburg","VA","US",38.449586,-78.851091,"810 Meadowlark Harrisonburg        VA      US","-",NA
"6",2011-05-03,"5/10/11","5/13/11","150  Ashby Avenue","TGW multiple","Closed 5/31/11","32","150  Ashby Avenue","Harrisonburg","VA","US",38.459808,-78.861771,"150  Ashby Avenue Harrisonburg        VA      US","-",NA
"7",2011-05-03,"5/10/11","5/13/11"," 160 Ashby Avenue","TGW multiple","Closed 5/31/11","32"," 160 Ashby Avenue","Harrisonburg","VA","US",38.459909,-78.861971,"160 Ashby Avenue Harrisonburg        VA      US","-",NA
"8",2011-05-05,"5/11/11","5/12/11","1080 Star Crest Dr","TGW- foreclosure","Closed 5/26/11","38","1080 Star Crest Dr","Harrisonburg","VA","US",38.446331,-78.848213,"1080 Star Crest Dr Harrisonburg        VA      US","-",NA
"9",2011-05-05,"5/20/11","5/23/11","1660 Central Ave","TGW, 6/2/11 improvement","Closed","38","1660 Central Ave","Harrisonburg","VA","US",38.429922,-78.890641,"1660 Central Ave Harrisonburg        VA      US","-",NA
"10",2011-05-10,"n/a","n/a","2310 Kendall Ln","TGW","No violation","10","2310 Kendall Ln","Harrisonburg","VA","US",38.420192,-78.855409,"2310 Kendall Ln Harrisonburg        VA      US","-",NA
"11",2011-05-10,"n/a","n/a","2310 Wishing Well Ct","TGW","No violation","10","2310 Wishing Well Ct","Harrisonburg","VA","US",38.420363,-78.855862,"2310 Wishing Well Ct Harrisonburg        VA      US","-",NA
"12",2011-05-11,"n/a","n/a","217 Port Republic Rd","TGW","Closed","12","217 Port Republic Rd","Harrisonburg","VA","US",38.431704,-78.87666,"217 Port Republic Rd Harrisonburg        VA      US","-",NA
"13",2011-05-11,"n/a","n/a","481 W Gay St","TGW","No violation","12","481 W Gay St","Harrisonburg","VA","US",38.454594,-78.875489,"481 W Gay St Harrisonburg        VA      US","-",NA
"14",2011-05-12,"n/a","n/a","565 Viewmont Ct","TGW","Closed 5/17/2011","13","565 Viewmont Ct","Harrisonburg","VA","US",38.456565,-78.850495,"565 Viewmont Ct Harrisonburg        VA      US","-",NA
"15",2011-05-12,"n/a","n/a","900 Oak Hill Dr","TGW","No violation","13","900 Oak Hill Dr","Harrisonburg","VA","US",38.428172,-78.870663,"900 Oak Hill Dr Harrisonburg        VA      US","-",NA
"16",2011-05-13,"5/17/2011","5/20/2011","245 Chicago Ave","TGW","Closed 6/2/2011","14","245 Chicago Ave","Harrisonburg","VA","US",38.452726,-78.873952,"245 Chicago Ave Harrisonburg        VA      US","-",NA
"17",2011-05-16,"5/20/2011","n/a","1876 Park Rd","TGW","Closed 8/8/2011","17","1876 Park Rd","Harrisonburg","VA","US",38.483773,-78.873927,"1876 Park Rd Harrisonburg        VA      US","-",NA
"18",2011-05-16,"5/20/2011","6/10/2011","1892 Park Rd","TGW","Closed 6/23/2011","17","1892 Park Rd","Harrisonburg","VA","US",38.484233,-78.873969,"1892 Park Rd Harrisonburg        VA      US","-",NA
"19",2011-05-16,"5/26/11","-","677 E Rock St","TGW-foreclosure, called Jand D for estimate 6/20/11 but they never got back to me","Closed 6/24/11","17","677 E Rock St","Harrisonburg","VA","US",38.450633,-78.856934,"677 E Rock St Harrisonburg        VA      US","-",NA
