Date Received,Date Certified Letter Sent,Date Letter Picked-Up ,Address,Comments,Source of Concern,Violation Status Open-Closed
4-25-2013,n-a,n-a,1223 Goldfinch Dr,"TGW, mowed before I inspected",citizen concern,no violation
4-26-2013,4-29-2013,5-1-2013,1210 Goldfinch Dr,"TGW, called JR Mowing but owner mowed",citizen concern,Closed 5-20-13
4-26-2013,4-30-2013,5-8-2013,560 Allegany Ave,TGW,citizen concern,Closed 5-13-13
5-1-2013,5-6-2013,5-8-2013,2125 Whispering Springs,"TGW, called Jand D but owner had it mowed",citizen concern,Closed 5-21-13
5-1-2013,5-8-2013,5-20-2013,1065 Bobwhite Place,TGW,citizen concern,Closed 5-21-13
5-2-2013,5-7-2013,5-8-2013,748 Madison St,tall grass and weeds,citizen concern,5-22-2013
5-7-2013,5-10-2013,5-11-2013,1220 Meadowlark Dr,TGW,citizen concern,Closed 5-15-13
5-7-2013,5-8-2013,5-10-2013,1049 Chicago Ave,tall grass and weeds,citizen concern,5-22-2013
5-9-2013,5-10-2013,5-20-2013,56 Monument Ave,TGW,citizen concern,Closed 5-21-13
5-9-2013,n-a,n-a,740 Virginia Ave,TGW- RGR already working on this,citizen concern,n-a
5-9-2013,n-a,n-a,1021 Edom Rd,TGW- PW cuts this according to Danielle,citizen concern,Closed
5-9-2013,5-10-2013,5-13-2013,752 Foley Rd,"TGW- we had it mowed, $225",citizen concern,Closed 6-17-13
5-9-2013,5-10-2013,xxxxxxxxxx,740 Virginia Ave,tall grass and weeds,citizen concern,5-13-2013
5-13-2013,5-14-2013,5-24-2013,605 Locust Hill Dr,TGW,citizen concern,Closed 5-28-13
5-13-2013,5-14-2013,5-15-2013,705 Oak Hill Dr,TGW,citizen concern,Closed 5-20-13
5-13-2013,5-14-2013,5-18-2013,849 Virginia Ave,TGW,citizen concern,Closed 5-28-13
5-13-2013,n-a,n-a,403 Cedar St,TGW,citizen concern,no violation
5-13-2013,5-14-2013,5-15-2013,1046 Moore St,TGW,citizen concern,Closed 5-21-13
5-13-2013,5-14-2013,5-15-2013,Vine St,tall grass and weeds,citizen concern,5-22-2013
5-13-2013,5-14-2013,,728 Ridgeville Ln,tall grass and weeds,citizen concern,
5-13-2013,5-14-2013,,730 Ridgeville Ln,tall grass and weeds,citizen concern,
5-13-2013,xxxxxxxxxx,xxxxxxxxxx,1851 Rhianon Ln,tall grass and weeds,citizen concern,5-16-2013
5-14-2013,5-14-2013,?,280 W Wolfe St,TGW,citizen concern,Closed 5-20-13
5-15-2013,5-15-2013,5-17-2013,69 Perry St,TGW,citizen concern,Closed 5-28-13
5-15-2013,5-16-2013,5-17-2013,301 Pointe Drive,TGW,citizen concern,Closed 5-22-13
5-16-2013,5-16-2013,5-17-2013,232 Cedar St,TGW,citizen concern,Closed 5-23-13
5-17-2013,5-17-2013,5-23-2013,1970 Buttonwood Ct,tall grass and weeds multiple,citizen concern,5-22-2013
5-17-2013,5-17-2013,xxxxxxxxxx,1974 Buttonwood Ct,tall grass and weeds multiple,citizen concern,5-22-2013
5-17-2013,5-17-2013,5-21-2013,1978 Buttonwood Ct,tall grass and weeds multiple,citizen concern,5-22-2013
5-17-2013,5-17-2013,5-23-2013,1982 Buttonwood Ct,tall grass and weeds multiple,citizen concern,5-22-2013
5-17-2013,5-17-2013,xxxxxxxxxx,1986 Buttonwood Ct,tall grass and weeds multiple,citizen concern,5-22-2013
5-17-2013,5-17-2013,5-24-2013,1990 Buttonwood Ct,tall grass and weeds multiple,citizen concern,5-22-2013
5-20-2013,n-a,n-a,1429 Valley St,"TGW, insp 5-22-13 and mowed",citizen concern,no violation
5-21-2013,5-22-2013,5-25-2013,121 E Weaver Ave,tall grass and weeds,citizen concern,6-6-2013
5-23-2013,5-24-2013,5-25-2013,75 Kenmore St,TGW multiple,citizen concern,Closed 5-31-13
